Time,T_ref_C,T_meas_C,PWM_percent,error_C
0 sec,35,25,0,0
0.1 sec,35,25.09236,80.15,10
0.2 sec,35,25.18293392304,79.5597346,9.90764
0.3 sec,35,25.2717599454442,78.9823992068344,9.81706607696
0.4 sec,35,25.3588754207707,78.4177146284188,9.72824005455576
0.5 sec,35,25.4443168975544,77.8654076944958,9.64112457922933
0.6 sec,35,25.5281201366684,77.3252111267629,9.55568310244562
0.7 sec,35,25.61032012831,76.7968634118007,9.47187986333161
0.8 sec,35,25.690951108621,76.2801086767429,9.38967987168996
0.9 sec,35,25.7700465759488,75.774696567626,9.30904889137902
1 sec,35,25.8476393067579,75.2803821303643,9.2299534240512
1.1 sec,35,25.9237613711971,74.7969256942903,9.15236069324212
1.2 sec,35,25.9984441483321,74.3240927582082,9.07623862880286
1.3 sec,35,26.0717183410481,73.8616538789039,9.00155585166795
1.4 sec,35,26.1436139906328,73.4093845620599,8.92828165895191
1.5 sec,35,26.2141604910436,72.9670651555224,8.85638600936716
1.6 sec,35,26.2833866028671,72.5344807448709,8.78583950895644
1.7 sec,35,26.3513204669786,72.1114210512398,8.71661339713292
1.8 sec,35,26.4179896179059,71.6976803313431,8.64867953302142
1.9 sec,35,26.4834209969054,71.293057279656,8.5820103820941
2 sec,35,26.5476409647563,70.897354932706,8.51657900309455
2.1 sec,35,26.6106753142783,70.5103805754277,8.45235903524368
2.2 sec,35,26.6725492825801,70.1319456495375,8.38932468572168
2.3 sec,35,26.7332875630431,69.7618656638846,8.3274507174199
2.4 sec,35,26.7929143170471,69.399960106735,8.2667124369569
2.5 sec,35,26.8514531854428,69.0460523599473,8.20708568295291
2.6 sec,35,26.908927299777,68.6999696150002,8.14854681455722
2.7 sec,35,26.9653592932759,68.3615427908297,8.09107270022299
2.8 sec,35,27.020771311591,68.0306064534395,8.03464070672411
2.9 sec,35,27.0751850233141,67.7069987372444,7.97922868840896
3 sec,35,27.1286216302643,67.3905612681105,7.92481497668593
3.1 sec,35,27.1811018775545,67.0811390880548,7.87137836973572
3.2 sec,35,27.2326460634401,66.7785805815693,7.81889812244545
3.3 sec,35,27.2832740489548,66.4827374035334,7.7673539365599
3.4 sec,35,27.3330052673398,66.1934644086813,7.71672595104518
3.5 sec,35,27.3818587332687,65.9106195825911,7.66699473266017
3.6 sec,35,27.4298530518736,65.6340639741612,7.61814126673131
3.7 sec,35,27.477006427577,65.3636616295438,7.5701469481264
3.8 sec,35,27.5233366727327,65.0992795275029,7.52299357242299
3.9 sec,35,27.5688612160806,64.8407875161663,7.47666332726729
4 sec,35,27.613597111019,64.5880582511421,7.43113878391943
4.1 sec,35,27.6575610436988,64.3409671349695,7.38640288898101
4.2 sec,35,27.700769340943,64.0993922578752,7.34243895630116
4.3 sec,35,27.7432379779947,63.8632143398082,7.29923065905705
4.4 sec,35,27.7849825860997,63.6323166737241,7.25676202200528
4.5 sec,35,27.8260184599235,63.406585070093,7.21501741390032
4.6 sec,35,27.8663605648101,63.1859078026035,7.1739815400765
