t_s,T_ref_C,T_meas_C,PWM_percent,raw
0.6309864,35,28.08,78,"{""T_meas"":28.08,""T_ref"":35.00,""PWM"":78.0}*E5"
1.3345636,35,28.22,79.2,"{""T_meas"":28.22,""T_ref"":35.00,""PWM"":79.2}*21"
2.2887592,35,28.04,80.5,"{""T_meas"":28.04,""T_ref"":35.00,""PWM"":80.5}*2B"
3.3860356,35,29.72,81.2,"{""T_meas"":29.72,""T_ref"":35.00,""PWM"":81.2}*30"
4.0439289,35,28.49,82.7,"{""T_meas"":28.49,""T_ref"":35.00,""PWM"":82.7}*FA"
5.2468054,35,29.01,83.7,"{""T_meas"":29.01,""T_ref"":35.00,""PWM"":83.7}*30"
6.0255667,35,28.74,84.9,"{""T_meas"":28.74,""T_ref"":35.00,""PWM"":84.9}*A0"
7.0496527,35,30.06,85.7,"{""T_meas"":30.06,""T_ref"":35.00,""PWM"":85.7}*24"
8.0478464,35,28.69,87.2,"{""T_meas"":28.69,""T_ref"":35.00,""PWM"":87.2}*86"
9.0304597,35,29.69,88,"{""T_meas"":29.69,""T_ref"":35.00,""PWM"":88.0}*B3"
10.0361752,35,28.78,89.3,"{""T_meas"":28.78,""T_ref"":35.00,""PWM"":89.3}*D3"
11.0290889,35,28.92,90.4,"{""T_meas"":28.92,""T_ref"":35.00,""PWM"":90.4}*A9"
12.0403623,35,30.27,91.1,"{""T_meas"":30.27,""T_ref"":35.00,""PWM"":91.1}*2D"
13.0402375,35,30.22,92.1,"{""T_meas"":30.22,""T_ref"":35.00,""PWM"":92.1}*D1"
14.034925,35,29.28,93.4,"{""T_meas"":29.28,""T_ref"":35.00,""PWM"":93.4}*D7"
15.0325885,35,30.59,94,"{""T_meas"":30.59,""T_ref"":35.00,""PWM"":94.0}*2A"
16.0443015,35,29.58,95.3,"{""T_meas"":29.58,""T_ref"":35.00,""PWM"":95.3}*E7"
17.0272484,35,31.1,95.8,"{""T_meas"":31.10,""T_ref"":35.00,""PWM"":95.8}*76"
18.0511464,35,30.29,96.9,"{""T_meas"":30.29,""T_ref"":35.00,""PWM"":96.9}*94"
19.0463925,35,30.25,97.8,"{""T_meas"":30.25,""T_ref"":35.00,""PWM"":97.8}*98"
20.0409071,35,31.69,98.2,"{""T_meas"":31.69,""T_ref"":35.00,""PWM"":98.2}*EC"
21.0388369,35,31.83,99,"{""T_meas"":31.83,""T_ref"":35.00,""PWM"":99.0}*05"
22.0417518,35,31.66,99.7,"{""T_meas"":31.66,""T_ref"":35.00,""PWM"":99.7}*F6"
23.0459649,35,32.09,100,"{""T_meas"":32.09,""T_ref"":35.00,""PWM"":100.0}*B4"
24.0394948,35,30.99,100,"{""T_meas"":30.99,""T_ref"":35.00,""PWM"":100.0}*3E"
25.038839,35,32.8,100,"{""T_meas"":32.80,""T_ref"":35.00,""PWM"":100.0}*BA"
26.0410127,35,31.99,100,"{""T_meas"":31.99,""T_ref"":35.00,""PWM"":100.0}*53"
27.0528778,35,33.21,100,"{""T_meas"":33.21,""T_ref"":35.00,""PWM"":100.0}*4C"
28.0467797,35,31.95,100,"{""T_meas"":31.95,""T_ref"":35.00,""PWM"":100.0}*7E"
29.0447525,35,33.18,100,"{""T_meas"":33.18,""T_ref"":35.00,""PWM"":100.0}*4C"
30.0255431,35,33.25,100,"{""T_meas"":33.25,""T_ref"":35.00,""PWM"":100.0}*AA"
31.0375018,35,33.76,100,"{""T_meas"":33.76,""T_ref"":35.00,""PWM"":100.0}*F0"
32.0368245,35,34,100,"{""T_meas"":34.00,""T_ref"":35.00,""PWM"":100.0}*AC"
33.0388805,35,33.11,100,"{""T_meas"":33.11,""T_ref"":35.00,""PWM"":100.0}*3D"
34.0314392,35,34.27,100,"{""T_meas"":34.27,""T_ref"":35.00,""PWM"":100.0}*DD"
35.031875,35,33.01,100,"{""T_meas"":33.01,""T_ref"":35.00,""PWM"":100.0}*12"
36.0411764,35,33.3,100,"{""T_meas"":33.30,""T_ref"":35.00,""PWM"":100.0}*D9"
37.0254425,35,33.16,100,"{""T_meas"":33.16,""T_ref"":35.00,""PWM"":100.0}*12"
38.0297713,35,34.63,100,"{""T_meas"":34.63,""T_ref"":35.00,""PWM"":100.0}*87"
39.0276367,35,33.37,100,"{""T_meas"":33.37,""T_ref"":35.00,""PWM"":100.0}*F6"
40.0431206,35,33.3,100,"{""T_meas"":33.30,""T_ref"":35.00,""PWM"":100.0}*D9"
41.0409291,35,34.78,100,"{""T_meas"":34.78,""T_ref"":35.00,""PWM"":100.0}*AA"
42.0245144,35,33.4,100,"{""T_meas"":33.40,""T_ref"":35.00,""PWM"":100.0}*14"
43.0377098,35,35.1,99.9,"{""T_meas"":35.10,""T_ref"":35.00,""PWM"":99.9}*B6"
44.0464059,35,33.85,100,"{""T_meas"":33.85,""T_ref"":35.00,""PWM"":100.0}*8B"
45.0411105,35,35.35,99.8,"{""T_meas"":35.35,""T_ref"":35.00,""PWM"":99.8}*16"
46.0475492,35,35.54,99.7,"{""T_meas"":35.54,""T_ref"":35.00,""PWM"":99.7}*7E"
47.037018,35,34.95,99.8,"{""T_meas"":34.95,""T_ref"":35.00,""PWM"":99.8}*63"
48.0360272,35,35.89,99.5,"{""T_meas"":35.89,""T_ref"":35.00,""PWM"":99.5}*F2"
49.0453221,35,36.19,99.4,"{""T_meas"":36.19,""T_ref"":35.00,""PWM"":99.4}*C6"
50.0497926,35,35.54,99.4,"{""T_meas"":35.54,""T_ref"":35.00,""PWM"":99.4}*41"
51.0360134,35,36.54,98.9,"{""T_meas"":36.54,""T_ref"":35.00,""PWM"":98.9}*EE"
52.0404955,35,35.49,99,"{""T_meas"":35.49,""T_ref"":35.00,""PWM"":99.0}*9E"
53.0406365,35,35.47,98.8,"{""T_meas"":35.47,""T_ref"":35.00,""PWM"":98.8}*53"
54.0326788,35,35.59,98.5,"{""T_meas"":35.59,""T_ref"":35.00,""PWM"":98.5}*73"
55.042927,35,36.95,97.8,"{""T_meas"":36.95,""T_ref"":35.00,""PWM"":97.8}*3A"
56.0445103,35,37.33,97.4,"{""T_meas"":37.33,""T_ref"":35.00,""PWM"":97.4}*37"
57.0309793,35,35.97,97.4,"{""T_meas"":35.97,""T_ref"":35.00,""PWM"":97.4}*EA"
58.0466232,35,37.56,96.6,"{""T_meas"":37.56,""T_ref"":35.00,""PWM"":96.6}*58"
59.0425695,35,37.53,96.3,"{""T_meas"":37.53,""T_ref"":35.00,""PWM"":96.3}*DF"
